range,song_name,artist,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
long_term,The Big Ship - 2004 Digital Remaster,Brian Eno,0.132,https://api.spotify.com/v1/audio-analysis/2d9KBVxb6bUfVCjjv1JAVe,0.377,181933.0,0.261,2d9KBVxb6bUfVCjjv1JAVe,0.875,0.0,0.116,-15.708,1.0,0.0411,117.994,3.0,https://api.spotify.com/v1/tracks/2d9KBVxb6bUfVCjjv1JAVe,audio_features,spotify:track:2d9KBVxb6bUfVCjjv1JAVe,0.0457
long_term,Move,S. Carey,0.979,https://api.spotify.com/v1/audio-analysis/40WXdZDdjnEIMiQynWYF8U,0.375,187293.0,0.225,40WXdZDdjnEIMiQynWYF8U,0.579,7.0,0.0871,-15.091,1.0,0.0304,97.11,4.0,https://api.spotify.com/v1/tracks/40WXdZDdjnEIMiQynWYF8U,audio_features,spotify:track:40WXdZDdjnEIMiQynWYF8U,0.0389
long_term,Jenny Come Home,Andy Shauf,0.347,https://api.spotify.com/v1/audio-analysis/78F6y7cbd6jYJXA4RFkwgo,0.704,180934.0,0.623,78F6y7cbd6jYJXA4RFkwgo,0.0356,11.0,0.135,-8.081,1.0,0.0418,119.919,4.0,https://api.spotify.com/v1/tracks/78F6y7cbd6jYJXA4RFkwgo,audio_features,spotify:track:78F6y7cbd6jYJXA4RFkwgo,0.491
long_term,You And Me,Penny & The Quarters,0.946,https://api.spotify.com/v1/audio-analysis/3ue9zcwNcoYvFqKVjG0C6r,0.577,160813.0,0.178,3ue9zcwNcoYvFqKVjG0C6r,1.01e-05,5.0,0.122,-7.811,1.0,0.0332,112.985,4.0,https://api.spotify.com/v1/tracks/3ue9zcwNcoYvFqKVjG0C6r,audio_features,spotify:track:3ue9zcwNcoYvFqKVjG0C6r,0.261
long_term,I Decline,Perfume Genius,0.765,https://api.spotify.com/v1/audio-analysis/55yfKueSypP64qCCLkvdc3,0.254,118120.0,0.0671,55yfKueSypP64qCCLkvdc3,0.0189,9.0,0.0961,-15.546,1.0,0.0428,82.091,3.0,https://api.spotify.com/v1/tracks/55yfKueSypP64qCCLkvdc3,audio_features,spotify:track:55yfKueSypP64qCCLkvdc3,0.07
long_term,Human Hands,Bowerbirds,0.851,https://api.spotify.com/v1/audio-analysis/1WyyQsbA2Hy5STcO8ki0At,0.634,199853.0,0.317,1WyyQsbA2Hy5STcO8ki0At,0.00136,0.0,0.0973,-13.818,1.0,0.0382,89.743,4.0,https://api.spotify.com/v1/tracks/1WyyQsbA2Hy5STcO8ki0At,audio_features,spotify:track:1WyyQsbA2Hy5STcO8ki0At,0.278
long_term,Mothers,S. Carey,0.895,https://api.spotify.com/v1/audio-analysis/4T8bHoH49wTTrQjYngKYAx,0.317,302707.0,0.284,4T8bHoH49wTTrQjYngKYAx,0.231,11.0,0.112,-15.497,0.0,0.0331,83.517,4.0,https://api.spotify.com/v1/tracks/4T8bHoH49wTTrQjYngKYAx,audio_features,spotify:track:4T8bHoH49wTTrQjYngKYAx,0.15
long_term,10 Bands,Drake,0.23,https://api.spotify.com/v1/audio-analysis/12d5QFwzh60IIHlsSnAvps,0.835,177733.0,0.756,12d5QFwzh60IIHlsSnAvps,0.0,7.0,0.0801,-3.789,1.0,0.382,173.0,4.0,https://api.spotify.com/v1/tracks/12d5QFwzh60IIHlsSnAvps,audio_features,spotify:track:12d5QFwzh60IIHlsSnAvps,0.87
long_term,Only Ones Who Know,Arctic Monkeys,0.899,https://api.spotify.com/v1/audio-analysis/7ABWRukVQcXrIrDKDx5Gek,0.257,181480.0,0.409,7ABWRukVQcXrIrDKDx5Gek,0.00293,7.0,0.109,-10.828,0.0,0.0363,145.759,5.0,https://api.spotify.com/v1/tracks/7ABWRukVQcXrIrDKDx5Gek,audio_features,spotify:track:7ABWRukVQcXrIrDKDx5Gek,0.0794
long_term,The Way I Feel Inside,The Zombies,0.954,https://api.spotify.com/v1/audio-analysis/2iSxljzM8Xw9EEIGBRW1CD,0.62,108573.0,0.148,2iSxljzM8Xw9EEIGBRW1CD,0.0,1.0,0.0968,-13.124,0.0,0.078,114.627,4.0,https://api.spotify.com/v1/tracks/2iSxljzM8Xw9EEIGBRW1CD,audio_features,spotify:track:2iSxljzM8Xw9EEIGBRW1CD,0.579
